age,gender,race_ethnicity,degree_program,heard_ccm_website,heard_social_media,heard_community_event,heard_family_friend,heard_current_student,heard_alumni,heard_hs_teacher,heard_hs_counselor,heard_in_app_ad,heard_employer,heard_billboard,heard_tv,heard_radio,heard_other,impact_affordable_cost,impact_location,impact_program_choice,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_small_classes,impact_extracurricular,impact_transfer_credits,impact_negative_experience,impact_nj_stars,impact_transfer_ability,impact_hs_credit,event_open_house,event_instant_decision,event_on_campus_session,event_titans_tuesday,event_women_who_dare,event_college_fair,event_sharetime,event_challenger,event_cybersecurity,event_hs_info_session,event_hs_campus_visit,event_individual_campus_visit,event_workforce_dev,event_corporate_training,event_teen_arts,event_summer_camp,computing_hs_class,computing_hs_club,computing_competitions,computing_afterschool,computing_summer_camp,computing_ap_class,computing_dual_enrollment,computing_family_influence,computing_family_in_field,computing_hs_teacher_counselor,computing_employer_influence,computing_current_student,computing_work_experience,computing_other,motivation_job,motivation_transfer_bach,motivation_hs_transfer,motivation_career_advancement,motivation_career_change,motivation_prof_development,motivation_job_displacement,motivation_relocation,motivation_stay_current,motivation_certifications,motivation_financial,motivation_personal_enrichment
18 and younger,Man,White/Caucasian,Undecided,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,,,,,,,,,,,
18 and younger,Man,Asian,Cybersecurity,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,High Impact,,High Impact,,,,High Impact,,,High Impact,,,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,,,,,,,,,,,,,,,,
18 and younger,Man,American Indian/Native American/Alaska Native,Information Security Certificate of Achievement,No,No,Don't recall,Yes,No,No,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
18 and younger,Woman,Hispanic or Latino,Information Technology,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No
18 and younger,Woman,Hispanic or Latino,Information Technology,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes
18 and younger,Man,White/Caucasian,Information Technology,Don't recall,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
18 and younger,Man,Multi-Racial,Information Security Certificate of Achievement,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No
18 and younger,Man,Asian,Information Security Certificate of Achievement,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
18 and younger,Woman,Black/African American,Information Technology,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
18 and younger,Man,Multi-Racial,Information Security Certificate of Achievement,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
